Industry,Jan - Malware,Jan - Phishing,Jan - Spam,Feb - Malware,Feb - Phising,Feb - Spam,March - Malware,March - Phising,March - Spam,Q1 Mal Sum,Q1 Phis Sum,Q1 Spam Avg,,Total Attacks,Mal Ratio,Phis Ratio
Transportation,161,1800,52.5,169,1620,52.2,140,1720,52.2,470,5140,52.3,,5610,0.083778966,0.916221034
Finance,147,1588,52.5,212,4129,52.4,143,1210,52.4,502,6927,52.43333333,,7429,0.067573025,0.932426975
Wholesale Trade,141,2100,52.6,122,4141,52.7,108,3227,52.5,371,9468,52.6,,9839,0.037707084,0.962292916
Nonclassifiable,129,2040,52.6,131,2553,52.6,98,1605,52.6,358,6198,52.6,,6556,0.054606467,0.945393533
Manufacturing,127,2870,54.5,148,3481,54.3,119,2732,53.6,394,9083,54.13333333,,9477,0.041574338,0.958425662
Contruction,109,3611,58.7,97,3929,56.5,179,3115,54.7,385,10655,56.63333333,,11040,0.034873188,0.965126812
Public Admin,91,1735,58.3,98,2506,57.2,110,1744,53.6,299,5985,56.36666667,,6284,0.047581158,0.952418842
Mining,87,2623,58.8,212,3803,57,112,2039,56.2,411,8465,57.33333333,,8876,0.046304642,0.953695358
Services,24,2089,52.1,102,3249,53.2,112,2230,52.8,238,7568,52.7,,7806,0.030489367,0.969510633
Retail,45,2481,59.4,97,2691,54.2,105,2451,51.3,247,7623,54.96666667,,7870,0.031385006,0.968614994
Agriculture,91,1624,51.3,149,1815,53.5,106,1298,53.6,346,4737,52.8,,5083,0.068070037,0.931929963
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
3680,1,200,Construction,,,,,,,,,,,,,
3279.666667,0.891213768,178.2427536,Wholesale,,,,,,,,,,,,,
3159,0.858423913,171.6847826,Manufacturing,,,,,,,,,,,,,
2958.666667,0.803985507,160.7971015,Mining,,,,,,,,,,,,,
2623.333333,0.712862319,142.5724638,Retail,,,,,,,,,,,,,
2602,0.707065217,141.4130435,Services,,,,,,,,,,,,,
2476.333333,0.672916667,134.5833333,Finance,,,,,,,,,,,,,
2185.333333,0.59384058,118.7681159,Non Classified,,,,,,,,,,,,,
2094.666667,0.569202899,113.8405797,Public Administration,,,,,,,,,,,,,
1870,0.508152174,101.6304348,Transporation,,,,,,,,,,,,,
1694.333333,0.460416667,92.08333332,Agriculure,,,,,,,,,,,,,
