Industry,April - Malware,April - Phishing,April - Spam,May - Malware,May- Phising,May - Spam,June - Malware,June - Phising,June - Spam,Q1 Mal Sum,Q1 Phis Sum,Q1 Spam Avg,,Total Attacks,Mal Ratio,Phis Ratio,Height Ratio,Height in PX
Public Admin,236,2630,52.1,137,2625,51.9,173,2080,51.5,546,7335,51.83333333,,7881,0.069280548,0.930719452,0.555939616,111.1879233
Finance,249,3245,52.2,176,1520,52.7,288,1586,51.9,713,6351,52.26666667,,7064,0.100934315,0.899065685,0.498306998,99.66139955
Contruction,313,4564,55.9,170,4617,56.5,244,4268,58.5,727,13449,56.96666667,,14176,0.05128386,0.94871614,1,200
Mining,245,3184,55.5,127,3466,55.8,217,3067,55.6,589,9717,55.63333333,,10306,0.057151174,0.942848826,0.727003386,145.4006772
Services,212,3172,52.6,130,3160,52.8,280,3188,52.4,622,9520,52.6,,10142,0.061329126,0.938670874,0.715434537,143.0869074
Retail,231,3332,53.3,146,3541,53.6,336,4034,55.8,713,10907,54.23333333,,11620,0.061359725,0.938640275,0.81969526,163.9390519
Wholesale Trade,181,4350,52.5,106,4881,52.3,213,4443,52.1,500,13674,52.3,,14174,0.035275857,0.964724143,0.999858916,199.9717833
Manufacturing,241,4340,54.1,132,4661,54.5,258,3941,54.1,631,12942,54.23333333,,13573,0.046489354,0.953510646,0.957463318,191.4926637
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
