Industry,July - Malware,July- Phishing,July - Spam,Aug - Malware,Aug - Phising,Aug- Spam,Sep - Malware,Sep - Phising,Sep - Spam,Q1 Mal Sum,Q1 Phis Sum,Q1 Spam Avg,,Total Attacks,Mal Ratio,Phis Ratio,Height Ratio,Height in PX
Public Admin,179,1697,51.5,164,1803,51.9,119,2188,51.7,462,5688,51.7,,6150,0.075121951,0.924878049,0.362511052,72.50221043
Finance,275,2025,52.7,216,2006,52.3,156,1881,52.6,647,5912,52.53333333,,6559,0.098643086,0.901356914,0.386619511,77.32390215
Contruction,145,4192,59.9,107,5566,59.6,62,6893,62.2,314,16651,60.56666667,,16965,0.018508694,0.981491306,1,200
Mining,200,3192,56,156,5297,55.5,93,726,57.7,449,9215,56.4,,9664,0.046461093,0.953538907,0.569643383,113.9286767
Services,192,2646,52.9,144,3969,53,109,3337,52.9,445,9952,52.93333333,,10397,0.042800808,0.957199192,0.612849985,122.5699971
Retail,265,3693,55.3,185,2710,53.8,149,4685,54.8,599,11088,54.63333333,,11687,0.05125353,0.94874647,0.688888889,137.7777778
Wholesale Trade,160,3894,52.7,121,5324,52.7,84,6099,53,365,15317,52.8,,15682,0.023275092,0.976724908,0.924373711,184.8747421
Manufacturing,168,758,54.6,144,5372,54.2,103,5941,54.5,415,12071,54.43333333,,12486,0.033237226,0.966762774,0.735985853,147.1971706
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
