Industry,Oct - Malware,Oct- Phishing,Oct - Spam,Nov- Malware,Nov - Phising,Nov- Spam,Dec- Malware,Dec - Phising,Dec - Spam,Q1 Mal Sum,Q1 Phis Sum,Q1 Spam Avg,,Total Attacks,Mal Ratio,Phis Ratio,Height Ratio,Height in PX
Public Admin,186,2814,52.2,131,3715,52.1,116,3068,52.3,433,9597,52.2,,10030,0.043170489,0.956829511,0.456137159,91.2274319
Finance,219,7102,53.4,112,1201,54.4,73,2386,54.8,404,10689,54.2,,11093,0.036419364,0.963580636,0.504479512,100.8959025
Contruction,88,7593,64.5,60,7875,61.2,148,2267,63.3,296,17735,63,,18031,0.016416172,0.983583828,0.82000091,164.0001819
Mining,152,7131,59.4,86,972,58.9,104,5423,59.1,342,13526,59.13333333,,13868,0.02466109,0.97533891,0.630678976,126.1357952
Services,151,4082,53.8,79,3492,53.5,85,4063,53.4,315,11637,53.56666667,,11952,0.026355422,0.973644578,0.5435445,108.7088999
Retail,207,6749,56.1,115,6298,54.2,132,5255,54.7,454,18302,55,,18756,0.024205588,0.975794412,0.852971941,170.5943881
Wholesale Trade,118,8327,52.9,66,7459,52.7,81,5938,52.5,265,21724,52.7,,21989,0.01205148,0.98794852,1,200
Manufacturing,138,7750,54.6,80,7203,54.6,94,4957,54.4,312,19910,54.53333333,,20222,0.015428741,0.984571259,0.919641639,183.9283278
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
